tof posE posN posU psiRads thetaRads velE velN velU mach speed specificForceX specificForceY specificForceZ tgtE tgtN tgtU
0.0020 0.0014 0.0000 0.0019 0.0000 0.9502 0.6755 0.0000 0.9452 0.0029 1.1618 80.8558 0.0000 -5.6249 3000.0000 0.0000 3000.0000
0.0040 0.0029 0.0000 0.0040 0.0000 0.9416 0.7790 0.0000 1.0703 0.0034 1.3238 80.9742 0.0000 -5.7024 3000.0000 0.0000 3000.0000
0.0060 0.0047 0.0000 0.0064 0.0000 0.9339 0.8838 0.0000 1.1946 0.0039 1.4860 81.0873 0.0000 -5.7709 3000.0000 0.0000 3000.0000
0.0080 0.0067 0.0000 0.0091 0.0000 0.9268 0.9897 0.0000 1.3182 0.0044 1.6484 81.1961 0.0000 -5.8323 3000.0000 0.0000 3000.0000
0.0100 0.0088 0.0000 0.0119 0.0000 0.9203 1.0968 0.0000 1.4412 0.0048 1.8111 81.3014 0.0000 -5.8880 3000.0000 0.0000 3000.0000
0.0120 0.0113 0.0000 0.0151 0.0000 0.9143 1.2048 0.0000 1.5636 0.0053 1.9739 81.4036 0.0000 -5.9388 3000.0000 0.0000 3000.0000
0.0140 0.0139 0.0000 0.0184 0.0000 0.9087 1.3138 0.0000 1.6854 0.0058 2.1369 81.5034 0.0000 -5.9857 3000.0000 0.0000 3000.0000
0.0160 0.0167 0.0000 0.0221 0.0000 0.9034 1.4236 0.0000 1.8067 0.0063 2.3002 81.6010 0.0000 -6.0291 3000.0000 0.0000 3000.0000
0.0180 0.0198 0.0000 0.0259 0.0000 0.8985 1.5343 0.0000 1.9275 0.0068 2.4636 81.6967 0.0000 -6.0696 3000.0000 0.0000 3000.0000
0.0200 0.0231 0.0000 0.0300 0.0000 0.8938 1.6457 0.0000 2.0479 0.0072 2.6272 81.7907 0.0000 -6.1075 3000.0000 0.0000 3000.0000
0.0220 0.0266 0.0000 0.0343 0.0000 0.8894 1.7579 0.0000 2.1678 0.0077 2.7910 81.8832 0.0000 -6.1431 3000.0000 0.0000 3000.0000
0.0240 0.0304 0.0000 0.0389 0.0000 0.8853 1.8707 0.0000 2.2874 0.0082 2.9550 81.9744 0.0000 -6.1766 3000.0000 0.0000 3000.0000
0.0260 0.0343 0.0000 0.0437 0.0000 0.8813 1.9843 0.0000 2.4066 0.0087 3.1191 82.0645 0.0000 -6.2084 3000.0000 0.0000 3000.0000
0.0280 0.0385 0.0000 0.0488 0.0000 0.8775 2.0984 0.0000 2.5254 0.0092 3.2835 82.1535 0.0000 -6.2386 3000.0000 0.0000 3000.0000
0.0300 0.0429 0.0000 0.0541 0.0000 0.8738 2.2132 0.0000 2.6439 0.0096 3.4480 82.2415 0.0000 -6.2673 3000.0000 0.0000 3000.0000
0.0320 0.0476 0.0000 0.0596 0.0000 0.8704 2.3285 0.0000 2.7621 0.0101 3.6126 82.3286 0.0000 -6.2947 3000.0000 0.0000 3000.0000
0.0340 0.0525 0.0000 0.0653 0.0000 0.8670 2.4444 0.0000 2.8800 0.0106 3.7775 82.4150 0.0000 -6.3209 3000.0000 0.0000 3000.0000
0.0360 0.0576 0.0000 0.0713 0.0000 0.8638 2.5609 0.0000 2.9976 0.0111 3.9425 82.5006 0.0000 -6.3459 3000.0000 0.0000 3000.0000
0.0380 0.0630 0.0000 0.0776 0.0000 0.8607 2.6779 0.0000 3.1149 0.0116 4.1077 82.5855 0.0000 -6.3700 3000.0000 0.0000 3000.0000
0.0400 0.0686 0.0000 0.0840 0.0000 0.8577 2.7953 0.0000 3.2319 0.0121 4.2731 82.6698 0.0000 -6.3930 3000.0000 0.0000 3000.0000
0.0420 0.0744 0.0000 0.0907 0.0000 0.8548 2.9133 0.0000 3.3487 0.0126 4.4386 82.7535 0.0000 -6.4153 3000.0000 0.0000 3000.0000
0.0440 0.0804 0.0000 0.0977 0.0000 0.8520 3.0318 0.0000 3.4652 0.0130 4.6043 82.8367 0.0000 -6.4367 3000.0000 0.0000 3000.0000
0.0460 0.0867 0.0000 0.1048 0.0000 0.8493 3.1507 0.0000 3.5815 0.0135 4.7701 82.9193 0.0000 -6.4573 3000.0000 0.0000 3000.0000
