timeOfFlight(s) posEast(m) posNorth(m) posUp(m) velEast(m/s) velNorth(m/s) velUp(m/s) accEast(m/s^2) accNorth(m/s^2) accUp(m/s^2) alpha(rads) beta(rads) normalAccCommand(m/s^2) normalAccAchieved(m/s^2) sideAccCommand(m/s^2) sideAccAchieved(m/s^2) targetEast(m) targetNorth(m) targetUp(m)
0.001 0.00042653922853636917 -0.0002462625384154083 0.00134339487710782 0.42653922853636916 -0.2462625384154083 1.34339487710782 130.34109581034528 -75.25246675257374 403.7022563219116 1.1791214686329274e-11 -1.0651251590113448e-10 -0.00012965274873108498 -0.0 0.0011711804787047403 -0.0 3000 3000 3000
0.002 0.0009842586408154576 -0.0005682619912811416 0.0030901380382871418 0.5577194122790885 -0.32199945286573334 1.7467431611793218 131.18018374271927 -75.73691445032503 403.34828407150195 6.729215346597119e-11 -6.104260491517304e-10 -0.0002623558712121214 -9.327027415495119e-17 0.0023980857158106155 8.425299533007753e-16 3000 3000 3000
0.003 0.0016738067882030381 -0.0009663728001716546 0.005239954102553682 0.6895481473875805 -0.398110808890513 2.14981606426654 131.828735108492 -76.11135602477967 403.0729030872182 2.0577266052412882e-10 -1.876099306650514e-09 -0.00044010455354378066 -8.973757257697468e-16 0.004060143808784262 8.140347583961615e-15 3000 3000 3000
0.004 0.0024957126120613215 -0.00144090035022751 0.007792617311776413 0.8219058238582831 -0.47452755005585545 2.5526632092227306 132.35767647070261 -76.41674116534246 402.8471449561906 4.705177781232938e-10 -4.312626559687589e-09 -0.0006623868956355086 -4.140413207432084e-15 0.006157420806996533 3.7749554911348936e-14 3000 3000 3000
0.005 0.0034504229262153274 -0.001992102610923192 0.01074793613676053 0.9547103141540056 -0.551202260695682 2.9553188249841176 132.80449029572253 -76.67471063982653 402.6556157613871 9.156537817939354e-10 -8.435209184602287e-09 -0.0009287973465818717 -1.3290734371409415e-14 0.00868996849906199 1.2181893376380243e-13 3000 3000 3000
0.006 0.004538324638714497 -0.002620202966126346 0.014105744110203806 1.0879017124991697 -0.6281003552031539 3.3578079734432764 133.191398345164 -76.89809450747192 402.48914845915874 1.6061539659028276e-09 -1.4865874379052695e-08 -0.001238999547828377 -3.45225767379496e-14 0.011657829368334309 3.1802976426915987e-13 3000 3000 3000
0.007 0.005759759013156742 -0.0033253984482619387 0.017865893921577138 1.2214343744422447 -0.7051954821355929 3.760149811373333 133.53266194307488 -77.09512693243903 402.34183793005667 2.6165566904458287e-09 -2.432259257199625e-08 -0.0015927058621506972 -1.6034646018326683e-11 0.01506103931841396 1.4840982775087402e-10 3000 3000 3000
0.008 0.0071150313691538715 -0.004107865339325097 0.022028253387561737 1.35527235599713 -0.7824668910631586 4.162359465984599 133.8379815548854 -77.27140892756572 402.2096546112655 4.030358823286084e-09 -3.761426674645461e-08 -0.0019896648594403717 -3.469097963178743e-11 0.018899629336262328 3.22475169977539e-10 3000 3000 3000
0.009000000000000001 0.00860441798101309 -0.004967763154341833 0.02659270257821174 1.489386611859218 -0.8598978150167351 4.564449190650004 134.11425586208802 -77.43092395357652 402.08972466540473 5.939753045835275e-09 -5.5638692301856053e-08 -0.002429653093742699 -5.994049595853838e-11 0.023173626582991498 5.594087034813901e-10 3000 3000 3000
0.010000000000000002 0.010228171159815643 -0.005905237576070949 0.03155913169449418 1.6237531788025532 -0.9374744217291153 4.966429116282439 134.36656694333524 -77.57660671238024 401.97992563243577 8.445422435976688e-09 -7.938096408748861e-08 -0.0029124694040170295 -1.0974375801010252e-10 0.027883055148479864 1.0279887289682425e-09 3000 3000 3000
0.011000000000000003 0.011986523105821432 -0.006920422679809934 0.03692743945567854 1.75835194600579 -1.0151851037389854 5.368307761184362 134.59876720323678 -77.71068200987015 401.8786449019226 1.1656332619572707e-08 -1.0991181245024747e-07 -0.0034379307981833966 -1.8321507256071153e-10 0.033027936595355495 1.7220913702638904e-09 3000 3000 3000
0.012000000000000004 0.013879688898675425 -0.00801344266046567 0.042697531844998526 1.8931657928539922 -1.0930199806557368 5.770092389319985 134.81384684820225 -77.83487691675131 401.7846281356231 1.568952324668515e-08 -1.4838589254888502e-07 -0.004005869381614296 -2.991877675325086e-10 0.03860829036421229 2.821150602482285e-09 3000 3000 3000
0.013000000000000005 0.01590786886508471 -0.009184413200262082 0.04886932111451494 2.0281799664092848 -1.1709705397964103 6.171789269516411 135.01417355529267 -77.95055914067346 401.69688019642655 2.066990369541243e-08 -1.9604007724326737e-07 -0.0046161300029043065 -4.6488781313268115e-10 0.044624134083648806 4.3967424632464325e-09 3000 3000 3000
0.014000000000000005 0.01807125048571927 -0.010433442570471565 0.05544272498218534 2.1633816206345613 -1.249029370209483 6.573403867670402 135.20165422527631 -78.05883041307271 401.6145981539906 2.673005473224364e-08 -2.5419177428114755e-07 -0.005268568408745462 -7.019050636069766e-10 0.05107548381283833 6.657095500522033e-09 3000 3000 3000
0.015000000000000006 0.020370009953725184 -0.011760632532057006 0.06241766597450743 2.298759468005913 -1.3271899615854417 6.974940992322088 135.37784737135198 -78.16059137595859 401.5371246516859 3.4010036359893324e-08 -3.242372741327974e-07 -0.00596304977026188 -1.029691517317213e-09 0.057962354234930666 9.791940808612977e-09 3000 3000 3000
0.016000000000000007 0.02280431346492 -0.013166079081451534 0.06979407088145728 2.434303511194817 -1.405446549394527 7.3764049069498485 135.54404318890394 -78.25658780908539 401.46391462776035 4.265720164281497e-08 -4.076501300983039e-07 -0.006699447486778541 -1.4750784174827544e-09 0.06528475881377513 1.4062772534426255e-08 3000 3000 3000
0.017000000000000008 0.025374318297971397 -0.014649873075135166 0.07757187029945321 2.570004833051396 -1.4837939936836322 7.7777994179959276 135.7013218565787 -78.34744428910528 401.3945110460791 5.282601620653877e-08 -5.05979570857318e-07 -0.007477642201012833 -2.070535939950167e-09 0.07304270992272294 1.97869108330531e-08 3000 3000 3000
0.01800000000000001 0.028080173727830077 -0.016212100757989914 0.08575099824430617 2.705855429858681 -1.5622276828547486 8.17912794485296 135.8505968072856 -78.43368917111634 401.32852685703176 6.467788310622789e-08 -6.208489451439633e-07 -0.008297520978219283 -2.853308710845891e-09 0.08123621895180126 2.7329638324282197e-08 3000 3000 3000
0.01900000000000001 0.030922021805081554 -0.01785284421429129 0.0943313918205204 2.8418480772514756 -1.640743456301375 8.580393576214231 135.99264739279434 -78.5157734466263 401.2656313612718 7.83809727831114e-08 -7.53954198058953e-07 -0.009158976614440104 -3.863951396521378e-09 0.08986529639787337 3.709042463059767e-08 3000 3000 3000
0.02000000000000001 0.03389999802625031 -0.0195721817557883 0.10331299093648014 2.977976221168753 -1.7193375414970113 8.98159911595973 136.12814391727758 -78.59408519563632 401.2055397454985 9.411005785243932e-08 -9.07062378450728e-07 -0.01006190704780638 -5.154696947399278e-09 0.09892995194123107 4.958353112008702e-08 3000 3000 3000
0.02100000000000001 0.0370142319145035 -0.0213701882580989 0.1126957380573832 3.114233888253195 -1.798006502310602 9.382747120903057 136.2576670844419 -78.66896081359062 401.14800494332695 1.1204635249049971e-07 -1.0820101767655465e-06 -0.011006214853093712 -6.7826460787336165e-09 0.10843019451123673 6.537327916654605e-08 3000 3000 3000
0.022000000000000013 0.04026484752604779 -0.02324693545424964 0.12247957798951328 3.250615611544284 -1.8767471961507396 9.783839932130084 136.38172329108906 -78.74069384013761 401.0928112270279 1.323773562104203e-07 -1.2807024927645207e-06 -0.011991806804265762 -8.81612062841391e-09 0.1183660323430293 8.513558922276456e-08 3000 3000 3000
0.023000000000000013 0.0436519638943805 -0.025202492192380032 0.1326644576907494 3.3871163683327117 -1.955556738130392 10.184879701236097 136.50075678842788 -78.80954197965237 401.0397691060135 1.5529670183533367e-07 -1.5051110325084919e-06 -0.013018593493086478 -1.1327438514513023e-08 0.12873747302686805 1.0958882362873249e-07 3000 3000 3000
0.024000000000000014 0.04717569542216437 -0.02723692466325085 0.14325032610320998 3.5237315277838643 -2.034432470870816 10.585868412460579 136.61515945115286 -78.87573274042401 400.98871122448196 1.8100400749316762e-07 -1.7572729340132154e-06 -0.014086488994376948 -1.440359960213363e-08 0.13954452355135502 1.3959740556505654e-07 3000 3000 3000
0.025000000000000015 0.05083615222864596 -0.029350296602128303 0.15423713400470257 3.66045680648159 -2.113371938877456 10.986807901492599 136.7252786977255 -78.93946800664018 400.93948903201914 2.0970473247071253e-07 -2.039289420980228e-06 -0.01519541057039491 -1.8140111227293067e-08 0.15078719034152704 1.7611282159566337e-07 3000 3000 3000
0.026000000000000016 0.05463344045909426 -0.0315426694687824 0.1656248338762537 3.7972882304483 -2.1923728666540905 11.38769987155113 136.83142396671008 -79.0009277766343 400.8919700585314 2.4161003677737786e-07 -2.3533244840246616e-06 -0.01634527840826375 -2.2643291002480767e-08 0.1624654792926172 2.2019638399934147e-07 3000 3000 3000
0.027000000000000017 0.05856766256159664 -0.03381410260868001 0.1774133797834712 3.9342221025023774 -2.2714331398976104 11.78854590721748 136.93387205407748 -79.06027324351994 400.84603566635104 2.769366442795197e-07 -2.701603588830535e-06 -0.017536015385513373 -2.8033338714186525e-08 0.17457939580013324 2.7304967643360343e-07 3000 3000 3000
0.028000000000000018 0.0626389175356428 -0.03616465339793004 0.1896027272698712 4.071254974046163 -2.350550789250031 12.189347486400017 137.03287154378637 -79.11764935242057 400.80157918253616 3.159067092751686e-07 -3.0864124106714423e-06 -0.01876754685967994 -3.444050631859613e-08 0.18712894478678702 3.3597791189299985e-07 3000 3000 3000
0.02900000000000002 0.06684730115619955 -0.038594377374117486 0.20219283326060786 4.208383620556752 -2.4297239761874425 12.590105990736642 137.12864651058882 -79.1731869374117 400.7585043366252 3.587476863873332e-07 -3.5100955947467247e-06 -0.020039800478613003 -4.201236871556407e-08 0.20011413072671455 4.1046135583302665e-07 3000 3000 3000
